date,time,temperature_°F,dew_point_°F,humidity_%,wind_dir,wind_speed_mph,wind_gust_mph,pressure_inHg,precip_rate_in/hr,precip_accum_in,uv_index,solar_w/m²
2024-10-01,00:04:00,56.8,53.1,87.0,WSW,8.2,10.4,29.48,0.0,0.0,0.0,0.0
2024-10-01,00:09:00,56.8,52.9,87.0,WSW,7.9,9.8,29.47,0.0,0.0,0.0,0.0
2024-10-01,00:14:00,57.0,52.8,86.0,West,10.3,12.8,29.47,0.0,0.0,0.0,0.0
2024-10-01,00:19:00,57.2,52.7,85.0,WSW,9.7,12.2,29.47,0.0,0.0,0.0,0.0
2024-10-01,00:24:00,57.2,52.7,85.0,WSW,9.7,11.9,29.47,0.0,0.0,0.0,0.0
2024-10-01,00:29:00,57.1,52.6,85.0,WSW,9.6,11.6,29.47,0.0,0.0,0.0,0.0
2024-10-01,00:34:00,57.0,52.5,85.0,WSW,9.8,12.7,29.47,0.0,0.0,0.0,0.0
2024-10-01,00:39:00,57.0,52.5,85.0,West,8.6,10.6,29.47,0.0,0.0,0.0,0.0
2024-10-01,00:44:00,56.8,52.3,85.0,WSW,9.1,11.4,29.47,0.0,0.0,0.0,0.0
2024-10-01,00:49:00,56.7,52.2,85.0,WSW,9.2,11.5,29.46,0.0,0.0,0.0,0.0
2024-10-01,00:54:00,56.8,52.1,84.0,WSW,10.7,13.2,29.47,0.0,0.0,0.0,0.0
2024-10-01,00:59:00,56.8,52.0,84.0,WSW,9.7,12.1,29.47,0.0,0.0,0.0,0.0
2024-10-01,01:04:00,56.8,52.0,84.0,WSW,9.4,12.0,29.47,0.0,0.0,0.0,0.0
2024-10-01,01:09:00,56.8,51.9,84.0,West,9.0,10.9,29.47,0.0,0.0,0.0,0.0
2024-10-01,01:14:00,56.6,51.6,84.0,West,10.3,12.7,29.47,0.0,0.0,0.0,0.0
2024-10-01,01:19:00,56.6,51.5,83.0,WSW,11.6,15.1,29.47,0.0,0.0,0.0,0.0
2024-10-01,01:24:00,56.5,51.3,83.0,WSW,10.0,12.6,29.47,0.0,0.0,0.0,0.0
2024-10-01,01:29:00,56.4,51.4,83.0,WSW,9.1,11.7,29.47,0.0,0.0,0.0,0.0
2024-10-01,01:34:00,56.3,51.2,83.0,WSW,9.6,12.3,29.47,0.0,0.0,0.0,0.0
2024-10-01,01:39:00,56.3,50.9,82.0,WSW,11.8,15.2,29.47,0.0,0.0,0.0,0.0
2024-10-01,01:44:00,56.3,50.9,82.0,WSW,9.2,11.5,29.47,0.0,0.0,0.0,0.0
2024-10-01,01:49:00,56.2,50.8,82.0,WSW,9.2,11.5,29.47,0.0,0.0,0.0,0.0
2024-10-01,01:54:00,56.2,50.8,82.0,West,11.0,14.1,29.48,0.0,0.0,0.0,0.0
2024-10-01,01:59:00,56.2,50.8,82.0,WSW,9.0,11.2,29.48,0.0,0.0,0.0,0.0
2024-10-01,02:04:00,56.1,50.7,82.0,WSW,10.5,13.8,29.48,0.0,0.0,0.0,0.0
2024-10-01,02:09:00,56.1,50.7,82.0,WSW,10.6,13.1,29.48,0.0,0.0,0.0,0.0
2024-10-01,02:14:00,56.1,50.7,82.0,WSW,10.5,13.2,29.48,0.0,0.0,0.0,0.0
2024-10-01,02:19:00,56.0,50.6,82.0,WSW,8.9,11.6,29.48,0.0,0.0,0.0,0.0
2024-10-01,02:24:00,55.9,50.5,82.0,WSW,10.3,13.4,29.48,0.0,0.0,0.0,0.0
2024-10-01,02:29:00,55.9,50.4,82.0,West,10.4,13.0,29.48,0.0,0.0,0.0,0.0
2024-10-01,02:34:00,55.9,50.4,82.0,West,10.4,12.6,29.48,0.0,0.0,0.0,0.0
2024-10-01,02:39:00,55.8,50.4,82.0,WSW,8.8,11.4,29.48,0.0,0.0,0.0,0.0
2024-10-01,02:44:00,55.8,50.2,82.0,WSW,10.7,13.3,29.48,0.0,0.0,0.0,0.0
2024-10-01,02:49:00,55.8,50.4,82.0,WSW,10.0,12.3,29.49,0.0,0.0,0.0,0.0
2024-10-01,02:54:00,55.6,50.2,82.0,WSW,10.5,13.1,29.48,0.0,0.0,0.0,0.0
2024-10-01,02:59:00,55.6,50.2,82.0,West,11.3,14.0,29.48,0.0,0.0,0.0,0.0
2024-10-01,03:04:00,55.6,50.2,82.0,WSW,10.8,13.4,29.48,0.0,0.0,0.0,0.0
2024-10-01,03:09:00,55.5,50.1,82.0,WSW,10.4,13.1,29.48,0.0,0.0,0.0,0.0
2024-10-01,03:14:00,55.4,50.0,82.0,WSW,9.8,12.2,29.48,0.0,0.0,0.0,0.0
2024-10-01,03:19:00,55.4,50.0,82.0,West,10.4,13.5,29.48,0.0,0.0,0.0,0.0
2024-10-01,03:24:00,55.3,49.9,82.0,West,10.6,13.1,29.48,0.0,0.0,0.0,0.0
2024-10-01,03:29:00,55.2,49.8,82.0,WSW,11.2,13.8,29.48,0.0,0.0,0.0,0.0
2024-10-01,03:34:00,55.2,49.8,82.0,WSW,10.7,13.0,29.48,0.0,0.0,0.0,0.0
2024-10-01,03:39:00,55.1,49.8,82.0,West,10.5,13.2,29.48,0.0,0.0,0.0,0.0
2024-10-01,03:44:00,54.9,50.2,84.0,WSW,10.8,14.4,29.48,0.0,0.0,0.0,0.0
2024-10-01,03:49:00,54.4,50.2,86.0,WSW,11.7,14.4,29.49,0.0,0.0,0.0,0.0
2024-10-01,03:54:00,54.0,50.4,87.0,West,10.1,12.8,29.48,0.0,0.0,0.0,0.0
2024-10-01,03:59:00,53.8,50.4,89.0,West,9.1,11.5,29.49,0.0,0.0,0.0,0.0
2024-10-01,04:04:00,53.5,50.5,90.0,West,8.6,10.5,29.49,0.0,0.0,0.0,0.0
2024-10-01,04:09:00,53.3,50.6,91.0,West,8.3,10.5,29.48,0.07,0.01,0.0,0.0
2024-10-01,04:14:00,53.2,50.6,91.0,West,8.5,10.9,29.48,0.07,0.01,0.0,0.0
2024-10-01,04:19:00,53.1,50.8,92.0,West,8.6,10.7,29.48,0.07,0.01,0.0,0.0
2024-10-01,04:24:00,53.0,50.8,92.0,WSW,7.8,10.0,29.48,0.0,0.01,0.0,0.0
2024-10-01,04:29:00,52.9,50.9,93.0,WSW,8.5,11.2,29.49,0.0,0.01,0.0,0.0
